ThreeMedian | FirstElement | RandomInt | 3RandomInts
-2126721028 | -2126721028 | -2126721028 | -2126721028
-2104690100 | -2104690100 | -2104690100 | -2104690100
-2058955369 | -2058955369 | -2058955369 | -2058955369
-1994663202 | -1994663202 | -1994663202 | -1994663202
-1965425002 | -1965425002 | -1965425002 | -1965425002
-1941054424 | -1941054424 | -1941054424 | -1941054424
-1882853109 | -1882853109 | -1882853109 | -1882853109
-1861288265 | -1861288265 | -1861288265 | -1861288265
-1798788740 | -1798788740 | -1798788740 | -1798788740
-1774699539 | -1774699539 | -1774699539 | -1774699539
-1763550485 | -1763550485 | -1763550485 | -1763550485
-1742341659 | -1742341659 | -1742341659 | -1742341659
-1673965982 | -1673965982 | -1673965982 | -1673965982
-1668097761 | -1668097761 | -1668097761 | -1668097761
-1645169032 | -1645169032 | -1645169032 | -1645169032
-1624866121 | -1624866121 | -1624866121 | -1624866121
-1613010969 | -1613010969 | -1613010969 | -1613010969
-1608398967 | -1608398967 | -1608398967 | -1608398967
-1578329748 | -1578329748 | -1578329748 | -1578329748
-1561159453 | -1561159453 | -1561159453 | -1561159453
-1523344945 | -1523344945 | -1523344945 | -1523344945
-1439670642 | -1439670642 | -1439670642 | -1439670642
-1384364324 | -1384364324 | -1384364324 | -1384364324
-1336862127 | -1336862127 | -1336862127 | -1336862127
-1220780375 | -1220780375 | -1220780375 | -1220780375
-1202981172 | -1202981172 | -1202981172 | -1202981172
-1163906280 | -1163906280 | -1163906280 | -1163906280
-1055886683 | -1055886683 | -1055886683 | -1055886683
-1023805602 | -1023805602 | -1023805602 | -1023805602
-1011484075 | -1011484075 | -1011484075 | -1011484075
-1006151759 | -1006151759 | -1006151759 | -1006151759
-1003266007 | -1003266007 | -1003266007 | -1003266007
-984233075 | -984233075 | -984233075 | -984233075
-801762909 | -801762909 | -801762909 | -801762909
-777053643 | -777053643 | -777053643 | -777053643
-745300205 | -745300205 | -745300205 | -745300205
-736777348 | -736777348 | -736777348 | -736777348
-687227721 | -687227721 | -687227721 | -687227721
-615129672 | -615129672 | -615129672 | -615129672
-594362377 | -594362377 | -594362377 | -594362377
-496252440 | -496252440 | -496252440 | -496252440
-472983829 | -472983829 | -472983829 | -472983829
-435169276 | -435169276 | -435169276 | -435169276
-425285080 | -425285080 | -425285080 | -425285080
-391984570 | -391984570 | -391984570 | -391984570
-338079241 | -338079241 | -338079241 | -338079241
-231634429 | -231634429 | -231634429 | -231634429
-224900728 | -224900728 | -224900728 | -224900728
-221671088 | -221671088 | -221671088 | -221671088
-163789233 | -163789233 | -163789233 | -163789233
-153224101 | -153224101 | -153224101 | -153224101
-134879677 | -134879677 | -134879677 | -134879677
-87868412 | -87868412 | -87868412 | -87868412
12058878 | 12058878 | 12058878 | 12058878
38180663 | 38180663 | 38180663 | 38180663
164262967 | 164262967 | 164262967 | 164262967
204210818 | 204210818 | 204210818 | 204210818
214819848 | 214819848 | 214819848 | 214819848
329581163 | 329581163 | 329581163 | 329581163
474079255 | 474079255 | 474079255 | 474079255
495301315 | 495301315 | 495301315 | 495301315
500995892 | 500995892 | 500995892 | 500995892
521353310 | 521353310 | 521353310 | 521353310
547976293 | 547976293 | 547976293 | 547976293
601010611 | 601010611 | 601010611 | 601010611
739080352 | 739080352 | 739080352 | 739080352
802900815 | 802900815 | 802900815 | 802900815
833451881 | 833451881 | 833451881 | 833451881
870898488 | 870898488 | 870898488 | 870898488
957812056 | 957812056 | 957812056 | 957812056
981015809 | 981015809 | 981015809 | 981015809
1104314273 | 1104314273 | 1104314273 | 1104314273
1125776800 | 1125776800 | 1125776800 | 1125776800
1156856489 | 1156856489 | 1156856489 | 1156856489
1184603060 | 1184603060 | 1184603060 | 1184603060
1200001502 | 1200001502 | 1200001502 | 1200001502
1200671505 | 1200671505 | 1200671505 | 1200671505
1224588562 | 1224588562 | 1224588562 | 1224588562
1232254158 | 1232254158 | 1232254158 | 1232254158
1244359021 | 1244359021 | 1244359021 | 1244359021
1284138182 | 1284138182 | 1284138182 | 1284138182
1552624098 | 1552624098 | 1552624098 | 1552624098
1582418509 | 1582418509 | 1582418509 | 1582418509
1639152851 | 1639152851 | 1639152851 | 1639152851
1639438097 | 1639438097 | 1639438097 | 1639438097
1705840720 | 1705840720 | 1705840720 | 1705840720
1780816775 | 1780816775 | 1780816775 | 1780816775
1792030449 | 1792030449 | 1792030449 | 1792030449
1852100831 | 1852100831 | 1852100831 | 1852100831
1852526049 | 1852526049 | 1852526049 | 1852526049
1881480861 | 1881480861 | 1881480861 | 1881480861
1895658935 | 1895658935 | 1895658935 | 1895658935
1957621740 | 1957621740 | 1957621740 | 1957621740
1958682212 | 1958682212 | 1958682212 | 1958682212
1965394477 | 1965394477 | 1965394477 | 1965394477
1978769407 | 1978769407 | 1978769407 | 1978769407
2010053084 | 2010053084 | 2010053084 | 2010053084
2021684925 | 2021684925 | 2021684925 | 2021684925
2056401630 | 2056401630 | 2056401630 | 2056401630
2118349445 | 2118349445 | 2118349445 | 2118349445
